courses,level,department,year,grade,credit,class_average,class_size
Phil 330,3,2,2011,81,3,58,72
Psyc 300,3,1,2011,77,3,67,67
Psyc 309,3,1,2011,71,3,72,140
Psyc 319,3,1,2011,77,3,73,86
Psyc 415,4,1,2011,68,3,73,35
Astr 311,3,4,2011,73,3,73,105
Phil 451,4,2,2011,70,3,74,36
Psyc 302,3,1,2011,85,3,68,97
Psyc 361,3,1,2011,76,3,69,136
Psyc 304,3,1,2010,78,6,70,169
Chin 481,4,4,2010,78,3,79,59
Phil 375,3,2,2010,71,3,71,104
Psyc 305,3,1,2010,77,3,74,190
Cog 200,2,4,2010,77,3,69,93
Psyc 306,3,1,2010,71,3,68,97
Psyc 358,3,1,2010,76,3,68,92
Hist 380,3,4,2010,78,6,74,51
Phil 230,2,2,2010,72,3,72,31
Soci 240,2,4,2010,87,3,72,66
Psyc 440,4,1,2011,95,3,88,9
Math 110,1,5,2016,91,6,62,92
Cpsc 110,1,3,2016,87,4,88,59
Cpsc 121,1,3,2016,78,4,78,152
Cogs 300,3,4,2016,72,3,79,56
Cpsc 210,2,3,2016,88,4,69,110
Phil 455,4,2,2016,80,3,79,16
Cpsc 221,2,3,2017,78,4,76,154
Cpsc 213,2,3,2017,70,4,76,122
Math 105,1,5,2017,85,3,69,127
CPSC 310,3,3,2017,85,4,83,176
Cpsc 313,3,3,2017,77,3,74,161
Math 200,2,5,2017,71,3,66,95
Math 221,2,5,2017,73,3,65,93
Cpsc 304,3,3,2017,77,3,78,158
Cpsc 320,3,3,2017,67,3,76,192
Cpsc 322,3,3,2017,75,3,79,151
Stat 302,3,5,2017,67,3,74,127
